"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","300","Create file","LMS service","Thu Jul 09 14:37:58 UTC 2026","passed","Thu Jul 09 14:37:59 UTC 2026","Create entity","Files","",""
"","305","Create file with empty directory","LMS service","Thu Jul 09 14:38:01 UTC 2026","passed","Thu Jul 09 14:38:01 UTC 2026","Validate entity","Files","",""
"","627","Create user","LMS service","Thu Jul 09 14:38:02 UTC 2026","passed","Thu Jul 09 14:38:03 UTC 2026","Create entity","Users","",""
"","344","Create course","LMS service","Thu Jul 09 14:37:55 UTC 2026","passed","Thu Jul 09 14:37:55 UTC 2026","Create entity","Courses","",""
"","23","Update exercise","LMS service","Thu Jul 09 14:37:56 UTC 2026","passed","Thu Jul 09 14:37:56 UTC 2026","Update entity","Exercises","",""
"","616","Create user","LMS service","Thu Jul 09 14:38:01 UTC 2026","passed","Thu Jul 09 14:38:02 UTC 2026","Create entity","Users","",""
"","13","Get user me","LMS service","Thu Jul 09 14:38:03 UTC 2026","passed","Thu Jul 09 14:38:03 UTC 2026","Get entity","Users","",""
"","22","Delete exercise","LMS service","Thu Jul 09 14:37:58 UTC 2026","passed","Thu Jul 09 14:37:58 UTC 2026","Delete entity","Exercises","",""
"","14","Get file","LMS service","Thu Jul 09 14:37:59 UTC 2026","passed","Thu Jul 09 14:37:59 UTC 2026","Get entity","Files","",""
"","31","Get courses","LMS service","Thu Jul 09 14:37:54 UTC 2026","passed","Thu Jul 09 14:37:54 UTC 2026","Get entities","Courses","",""
"","320","Get exercise","LMS service","Thu Jul 09 14:37:56 UTC 2026","passed","Thu Jul 09 14:37:57 UTC 2026","Get entity","Exercises","",""
"","623","Login with correct email and password","LMS service","Thu Jul 09 14:37:52 UTC 2026","passed","Thu Jul 09 14:37:53 UTC 2026","Login","Authentication","",""
"","22","Delete file","LMS service","Thu Jul 09 14:38:00 UTC 2026","passed","Thu Jul 09 14:38:00 UTC 2026","Delete entity","Files","",""
"","305","Create file with empty filename","LMS service","Thu Jul 09 14:38:00 UTC 2026","passed","Thu Jul 09 14:38:01 UTC 2026","Validate entity","Files","",""
"","330","Create exercise","LMS service","Thu Jul 09 14:37:55 UTC 2026","passed","Thu Jul 09 14:37:55 UTC 2026","Create entity","Exercises","",""
"","322","Get exercises","LMS service","Thu Jul 09 14:37:58 UTC 2026","passed","Thu Jul 09 14:37:58 UTC 2026","Get entities","Exercises","",""
"","300","Get file with incorrect file id","LMS service","Thu Jul 09 14:38:02 UTC 2026","passed","Thu Jul 09 14:38:02 UTC 2026","Validate entity","Files","",""
"","349","Update course","LMS service","Thu Jul 09 14:37:53 UTC 2026","passed","Thu Jul 09 14:37:53 UTC 2026","Update entity","Courses","",""
"","329","Create user","LMS service","Thu Jul 09 14:38:02 UTC 2026","passed","Thu Jul 09 14:38:02 UTC 2026","Create entity","Users","",""
