"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Get exercise","LMS service","Wed Jan 07 17:57:27 UTC 2026","passed","Wed Jan 07 17:57:27 UTC 2026","Get entity","Exercises","",""
"","18","Delete file","LMS service","Wed Jan 07 17:57:30 UTC 2026","passed","Wed Jan 07 17:57:30 UTC 2026","Delete entity","Files","",""
"","553","Create user","LMS service","Wed Jan 07 17:57:32 UTC 2026","passed","Wed Jan 07 17:57:33 UTC 2026","Create entity","Users","",""
"","296","Create exercise","LMS service","Wed Jan 07 17:57:26 UTC 2026","passed","Wed Jan 07 17:57:26 UTC 2026","Create entity","Exercises","",""
"","270","Create file with empty directory","LMS service","Wed Jan 07 17:57:31 UTC 2026","passed","Wed Jan 07 17:57:31 UTC 2026","Validate entity","Files","",""
"","267","Create file","LMS service","Wed Jan 07 17:57:29 UTC 2026","passed","Wed Jan 07 17:57:29 UTC 2026","Create entity","Files","",""
"","263","Get file with incorrect file id","LMS service","Wed Jan 07 17:57:32 UTC 2026","passed","Wed Jan 07 17:57:32 UTC 2026","Validate entity","Files","",""
"","300","Create course","LMS service","Wed Jan 07 17:57:25 UTC 2026","passed","Wed Jan 07 17:57:26 UTC 2026","Create entity","Courses","",""
"","14","Get file","LMS service","Wed Jan 07 17:57:30 UTC 2026","passed","Wed Jan 07 17:57:30 UTC 2026","Get entity","Files","",""
"","33","Update course","LMS service","Wed Jan 07 17:57:24 UTC 2026","passed","Wed Jan 07 17:57:24 UTC 2026","Update entity","Courses","",""
"","290","Delete exercise","LMS service","Wed Jan 07 17:57:28 UTC 2026","passed","Wed Jan 07 17:57:28 UTC 2026","Delete entity","Exercises","",""
"","285","Login with correct email and password","LMS service","Wed Jan 07 17:57:23 UTC 2026","passed","Wed Jan 07 17:57:24 UTC 2026","Login","Authentication","",""
"","545","Create user","LMS service","Wed Jan 07 17:57:32 UTC 2026","passed","Wed Jan 07 17:57:32 UTC 2026","Create entity","Users","",""
"","287","Update exercise","LMS service","Wed Jan 07 17:57:27 UTC 2026","passed","Wed Jan 07 17:57:27 UTC 2026","Update entity","Exercises","",""
"","14","Get user me","LMS service","Wed Jan 07 17:57:33 UTC 2026","passed","Wed Jan 07 17:57:33 UTC 2026","Get entity","Users","",""
"","266","Create file with empty filename","LMS service","Wed Jan 07 17:57:31 UTC 2026","passed","Wed Jan 07 17:57:31 UTC 2026","Validate entity","Files","",""
"","31","Get courses","LMS service","Wed Jan 07 17:57:25 UTC 2026","passed","Wed Jan 07 17:57:25 UTC 2026","Get entities","Courses","",""
"","287","Create user","LMS service","Wed Jan 07 17:57:32 UTC 2026","passed","Wed Jan 07 17:57:32 UTC 2026","Create entity","Users","",""
"","17","Get exercises","LMS service","Wed Jan 07 17:57:29 UTC 2026","passed","Wed Jan 07 17:57:29 UTC 2026","Get entities","Exercises","",""
