"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","Create user","LMS service","Mon Jun 15 17:50:32 UTC 2026","passed","Mon Jun 15 17:50:32 UTC 2026","Create entity","Users","",""
"","17","Get file with incorrect file id","LMS service","Mon Jun 15 17:50:32 UTC 2026","passed","Mon Jun 15 17:50:32 UTC 2026","Validate entity","Files","",""
"","20","Get file","LMS service","Mon Jun 15 17:50:30 UTC 2026","passed","Mon Jun 15 17:50:30 UTC 2026","Get entity","Files","",""
"","53","Get exercise","LMS service","Mon Jun 15 17:50:27 UTC 2026","passed","Mon Jun 15 17:50:27 UTC 2026","Get entity","Exercises","",""
"","1127","Create file","LMS service","Mon Jun 15 17:50:29 UTC 2026","passed","Mon Jun 15 17:50:30 UTC 2026","Create entity","Files","",""
"","546","Create user","LMS service","Mon Jun 15 17:50:32 UTC 2026","passed","Mon Jun 15 17:50:33 UTC 2026","Create entity","Users","",""
"","309","Update course","LMS service","Mon Jun 15 17:50:24 UTC 2026","passed","Mon Jun 15 17:50:24 UTC 2026","Update entity","Courses","",""
"","16","Get user me","LMS service","Mon Jun 15 17:50:33 UTC 2026","passed","Mon Jun 15 17:50:33 UTC 2026","Get entity","Users","",""
"","22","Delete file","LMS service","Mon Jun 15 17:50:31 UTC 2026","passed","Mon Jun 15 17:50:31 UTC 2026","Delete entity","Files","",""
"","20","Get exercises","LMS service","Mon Jun 15 17:50:28 UTC 2026","passed","Mon Jun 15 17:50:28 UTC 2026","Get entities","Exercises","",""
"","26","Update exercise","LMS service","Mon Jun 15 17:50:27 UTC 2026","passed","Mon Jun 15 17:50:27 UTC 2026","Update entity","Exercises","",""
"","21","Create exercise","LMS service","Mon Jun 15 17:50:26 UTC 2026","passed","Mon Jun 15 17:50:26 UTC 2026","Create entity","Exercises","",""
"","534","Create user","LMS service","Mon Jun 15 17:50:32 UTC 2026","passed","Mon Jun 15 17:50:33 UTC 2026","Create entity","Users","",""
"","264","Create file with empty directory","LMS service","Mon Jun 15 17:50:32 UTC 2026","passed","Mon Jun 15 17:50:32 UTC 2026","Validate entity","Files","",""
"","303","Create course","LMS service","Mon Jun 15 17:50:25 UTC 2026","passed","Mon Jun 15 17:50:25 UTC 2026","Create entity","Courses","",""
"","288","Login with correct email and password","LMS service","Mon Jun 15 17:50:23 UTC 2026","passed","Mon Jun 15 17:50:23 UTC 2026","Login","Authentication","",""
"","22","Delete exercise","LMS service","Mon Jun 15 17:50:28 UTC 2026","passed","Mon Jun 15 17:50:28 UTC 2026","Delete entity","Exercises","",""
"","18","Create file with empty filename","LMS service","Mon Jun 15 17:50:31 UTC 2026","passed","Mon Jun 15 17:50:31 UTC 2026","Validate entity","Files","",""
"","306","Get courses","LMS service","Mon Jun 15 17:50:24 UTC 2026","passed","Mon Jun 15 17:50:25 UTC 2026","Get entities","Courses","",""
