"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Create course","LMS service","Wed Jan 07 18:20:22 UTC 2026","passed","Wed Jan 07 18:20:22 UTC 2026","Create entity","Courses","",""
"","26","Update exercise","LMS service","Wed Jan 07 18:20:23 UTC 2026","passed","Wed Jan 07 18:20:23 UTC 2026","Update entity","Exercises","",""
"","561","Create user","LMS service","Wed Jan 07 18:20:29 UTC 2026","passed","Wed Jan 07 18:20:30 UTC 2026","Create entity","Users","",""
"","265","Create file with empty filename","LMS service","Wed Jan 07 18:20:28 UTC 2026","passed","Wed Jan 07 18:20:28 UTC 2026","Validate entity","Files","",""
"","273","Get file with incorrect file id","LMS service","Wed Jan 07 18:20:29 UTC 2026","passed","Wed Jan 07 18:20:29 UTC 2026","Validate entity","Files","",""
"","17","Create file with empty directory","LMS service","Wed Jan 07 18:20:28 UTC 2026","passed","Wed Jan 07 18:20:28 UTC 2026","Validate entity","Files","",""
"","14","Get file","LMS service","Wed Jan 07 18:20:27 UTC 2026","passed","Wed Jan 07 18:20:27 UTC 2026","Get entity","Files","",""
"","553","Login with correct email and password","LMS service","Wed Jan 07 18:20:20 UTC 2026","passed","Wed Jan 07 18:20:21 UTC 2026","Login","Authentication","",""
"","27","Create file","LMS service","Wed Jan 07 18:20:26 UTC 2026","passed","Wed Jan 07 18:20:26 UTC 2026","Create entity","Files","",""
"","56","Get exercise","LMS service","Wed Jan 07 18:20:24 UTC 2026","passed","Wed Jan 07 18:20:24 UTC 2026","Get entity","Exercises","",""
"","19","Delete file","LMS service","Wed Jan 07 18:20:27 UTC 2026","passed","Wed Jan 07 18:20:27 UTC 2026","Delete entity","Files","",""
"","32","Get courses","LMS service","Wed Jan 07 18:20:22 UTC 2026","passed","Wed Jan 07 18:20:22 UTC 2026","Get entities","Courses","",""
"","26","Create exercise","LMS service","Wed Jan 07 18:20:23 UTC 2026","passed","Wed Jan 07 18:20:23 UTC 2026","Create entity","Exercises","",""
"","22","Delete exercise","LMS service","Wed Jan 07 18:20:25 UTC 2026","passed","Wed Jan 07 18:20:25 UTC 2026","Delete entity","Exercises","",""
"","14","Get user me","LMS service","Wed Jan 07 18:20:30 UTC 2026","passed","Wed Jan 07 18:20:30 UTC 2026","Get entity","Users","",""
"","33","Update course","LMS service","Wed Jan 07 18:20:21 UTC 2026","passed","Wed Jan 07 18:20:21 UTC 2026","Update entity","Courses","",""
"","28","Get exercises","LMS service","Wed Jan 07 18:20:26 UTC 2026","passed","Wed Jan 07 18:20:26 UTC 2026","Get entities","Exercises","",""
"","537","Create user","LMS service","Wed Jan 07 18:20:28 UTC 2026","passed","Wed Jan 07 18:20:29 UTC 2026","Create entity","Users","",""
"","526","Create user","LMS service","Wed Jan 07 18:20:29 UTC 2026","passed","Wed Jan 07 18:20:29 UTC 2026","Create entity","Users","",""
