"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","535","Create user","LMS service","Wed Jan 07 18:21:06 UTC 2026","passed","Wed Jan 07 18:21:07 UTC 2026","Create entity","Users","",""
"","15","Get file","LMS service","Wed Jan 07 18:21:05 UTC 2026","passed","Wed Jan 07 18:21:05 UTC 2026","Get entity","Files","",""
"","13","Get user me","LMS service","Wed Jan 07 18:21:08 UTC 2026","passed","Wed Jan 07 18:21:08 UTC 2026","Get entity","Users","",""
"","266","Get file with incorrect file id","LMS service","Wed Jan 07 18:21:07 UTC 2026","passed","Wed Jan 07 18:21:07 UTC 2026","Validate entity","Files","",""
"","21","Create file","LMS service","Wed Jan 07 18:21:04 UTC 2026","passed","Wed Jan 07 18:21:04 UTC 2026","Create entity","Files","",""
"","524","Create user","LMS service","Wed Jan 07 18:21:07 UTC 2026","passed","Wed Jan 07 18:21:07 UTC 2026","Create entity","Users","",""
"","21","Delete exercise","LMS service","Wed Jan 07 18:21:03 UTC 2026","passed","Wed Jan 07 18:21:03 UTC 2026","Delete entity","Exercises","",""
"","32","Update course","LMS service","Wed Jan 07 18:20:59 UTC 2026","passed","Wed Jan 07 18:20:59 UTC 2026","Update entity","Courses","",""
"","559","Create user","LMS service","Wed Jan 07 18:21:07 UTC 2026","passed","Wed Jan 07 18:21:08 UTC 2026","Create entity","Users","",""
"","19","Get exercises","LMS service","Wed Jan 07 18:21:04 UTC 2026","passed","Wed Jan 07 18:21:04 UTC 2026","Get entities","Exercises","",""
"","32","Get courses","LMS service","Wed Jan 07 18:21:00 UTC 2026","passed","Wed Jan 07 18:21:00 UTC 2026","Get entities","Courses","",""
"","22","Update exercise","LMS service","Wed Jan 07 18:21:01 UTC 2026","passed","Wed Jan 07 18:21:01 UTC 2026","Update entity","Exercises","",""
"","556","Login with correct email and password","LMS service","Wed Jan 07 18:20:58 UTC 2026","passed","Wed Jan 07 18:20:59 UTC 2026","Login","Authentication","",""
"","22","Delete file","LMS service","Wed Jan 07 18:21:05 UTC 2026","passed","Wed Jan 07 18:21:05 UTC 2026","Delete entity","Files","",""
"","16","Create file with empty directory","LMS service","Wed Jan 07 18:21:06 UTC 2026","passed","Wed Jan 07 18:21:06 UTC 2026","Validate entity","Files","",""
"","26","Create exercise","LMS service","Wed Jan 07 18:21:01 UTC 2026","passed","Wed Jan 07 18:21:01 UTC 2026","Create entity","Exercises","",""
"","29","Create course","LMS service","Wed Jan 07 18:21:00 UTC 2026","passed","Wed Jan 07 18:21:00 UTC 2026","Create entity","Courses","",""
"","262","Create file with empty filename","LMS service","Wed Jan 07 18:21:06 UTC 2026","passed","Wed Jan 07 18:21:06 UTC 2026","Validate entity","Files","",""
"","44","Get exercise","LMS service","Wed Jan 07 18:21:02 UTC 2026","passed","Wed Jan 07 18:21:03 UTC 2026","Get entity","Exercises","",""
