"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get file","LMS service","Thu Jul 02 20:50:24 UTC 2026","passed","Thu Jul 02 20:50:25 UTC 2026","Get entity","Files","",""
"","269","Create file with empty filename","LMS service","Thu Jul 02 20:50:25 UTC 2026","passed","Thu Jul 02 20:50:26 UTC 2026","Validate entity","Files","",""
"","32","Create course","LMS service","Thu Jul 02 20:50:20 UTC 2026","passed","Thu Jul 02 20:50:20 UTC 2026","Create entity","Courses","",""
"","23","Update exercise","LMS service","Thu Jul 02 20:50:21 UTC 2026","passed","Thu Jul 02 20:50:21 UTC 2026","Update entity","Exercises","",""
"","20","Get exercises","LMS service","Thu Jul 02 20:50:23 UTC 2026","passed","Thu Jul 02 20:50:23 UTC 2026","Get entities","Exercises","",""
"","557","Login with correct email and password","LMS service","Thu Jul 02 20:50:18 UTC 2026","passed","Thu Jul 02 20:50:19 UTC 2026","Login","Authentication","",""
"","561","Create user","LMS service","Thu Jul 02 20:50:27 UTC 2026","passed","Thu Jul 02 20:50:27 UTC 2026","Create entity","Users","",""
"","546","Create user","LMS service","Thu Jul 02 20:50:26 UTC 2026","passed","Thu Jul 02 20:50:26 UTC 2026","Create entity","Users","",""
"","22","Create file","LMS service","Thu Jul 02 20:50:23 UTC 2026","passed","Thu Jul 02 20:50:23 UTC 2026","Create entity","Files","",""
"","531","Create user","LMS service","Thu Jul 02 20:50:26 UTC 2026","passed","Thu Jul 02 20:50:27 UTC 2026","Create entity","Users","",""
"","31","Create exercise","LMS service","Thu Jul 02 20:50:21 UTC 2026","passed","Thu Jul 02 20:50:21 UTC 2026","Create entity","Exercises","",""
"","269","Get file with incorrect file id","LMS service","Thu Jul 02 20:50:27 UTC 2026","passed","Thu Jul 02 20:50:27 UTC 2026","Validate entity","Files","",""
"","22","Delete file","LMS service","Thu Jul 02 20:50:24 UTC 2026","passed","Thu Jul 02 20:50:24 UTC 2026","Delete entity","Files","",""
"","36","Get courses","LMS service","Thu Jul 02 20:50:20 UTC 2026","passed","Thu Jul 02 20:50:20 UTC 2026","Get entities","Courses","",""
"","31","Update course","LMS service","Thu Jul 02 20:50:19 UTC 2026","passed","Thu Jul 02 20:50:19 UTC 2026","Update entity","Courses","",""
"","24","Delete exercise","LMS service","Thu Jul 02 20:50:22 UTC 2026","passed","Thu Jul 02 20:50:22 UTC 2026","Delete entity","Exercises","",""
"","14","Get user me","LMS service","Thu Jul 02 20:50:28 UTC 2026","passed","Thu Jul 02 20:50:28 UTC 2026","Get entity","Users","",""
"","26","Get exercise","LMS service","Thu Jul 02 20:50:22 UTC 2026","passed","Thu Jul 02 20:50:22 UTC 2026","Get entity","Exercises","",""
"","21","Create file with empty directory","LMS service","Thu Jul 02 20:50:26 UTC 2026","passed","Thu Jul 02 20:50:26 UTC 2026","Validate entity","Files","",""
